Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"HierarchicalConfigurationConverter",7,0.00,2.29,57,0.62,16669.73,7,0,7,7,2,73.43,85,78,17.00
"HierarchicalConfigurationXMLReader",6,0.80,1.00,15,0.08,601.52,7,1,4,6,6,94.45,45,29,3.00
"HierarchicalConfigurationXMLReader$SAXVisitor",6,1.00,1.83,28,0.34,8349.42,7,1,4,6,1,74.24,46,49,15.00
"HierarchicalDOM4JConfiguration",10,0.39,1.50,44,0.43,8985.59,12,2,8,10,6,95.04,57,76,17.00
"HierarchicalXMLConfiguration",25,0.21,1.28,83,0.88,22052.33,26,1,15,26,7,176.74,33,148,16.00
"HierarchicalXMLConfiguration$FileConfigurationDelegate",2,0.00,1.00,5,0.04,493.29,2,0,15,2,3,137.09,0,10,4.00
"JNDIConfiguration",22,0.11,1.82,112,1.22,35310.89,27,5,16,24,6,86.75,132,208,15.00
"MockConfiguration",1,0.00,1.00,3,0.01,44.19,1,0,0,1,1,107.79,6,6,0.00
"MockStaticMemoryInitialContextFactory",2,1.00,1.50,21,0.26,8481.20,3,1,7,2,0,61.71,14,35,12.00
"NonStringTestHolder",18,0.06,1.06,80,1.05,18244.23,19,1,4,18,2,164.39,7,120,17.00
"PropertiesConfiguration",12,0.41,3.33,121,1.42,92361.09,14,2,12,12,15,117.41,212,205,56.00
"PropertiesConfiguration$PropertiesReader",2,0.00,3.00,18,0.19,8706.73,2,0,12,2,0,59.44,21,36,12.00
"PropertiesConfiguration$PropertiesWriter",4,0.00,1.50,19,0.20,4352.29,4,0,12,4,0,81.32,27,30,7.00
"StrictConfigurationComparator",2,0.00,4.00,24,0.24,16004.62,2,0,1,2,3,52.47,21,36,94.00
"SubsetConfiguration",17,0.02,1.24,53,0.60,15786.05,20,3,3,17,4,119.17,77,107,10.00
"SubsetConfiguration$Transformer",1,0.00,1.00,3,0.02,162.77,1,0,3,1,0,135.56,0,7,4.00
"SubsetConfiguration$Transformer_0",1,0.00,1.00,3,0.02,162.77,1,0,3,1,0,135.56,0,7,4.00
"TestBaseConfiguration",21,0.28,2.14,292,3.55,97089.93,24,3,9,21,2,141.91,38,428,21.00
"TestBaseConfigurationXMLReader",8,0.05,1.50,69,0.83,19418.33,11,3,10,8,3,157.30,11,100,18.00
"TestBaseConfigurationXMLReader$TestContentHandler",1,0.00,1.00,3,0.03,407.66,1,0,10,1,0,182.42,1,8,5.00
"TestBaseNullConfiguration",21,0.23,2.00,277,3.41,91202.66,24,3,9,21,2,143.02,38,407,21.00
"TestBasePropertiesConfiguration",7,0.17,1.00,21,0.19,2128.61,8,1,3,7,2,128.16,30,35,5.00
"TestClassPropertiesConfiguration",2,0.00,1.50,11,0.10,1805.06,3,1,0,2,2,78.68,23,20,4.00
"TestCompositeConfiguration",24,0.22,1.54,274,3.23,88393.12,31,7,7,26,6,131.36,63,326,20.00
"TestCompositeConfigurationNonStringProperties",1,0.00,1.00,8,0.07,1185.29,2,1,1,3,3,80.66,6,13,9.00
"TestConfigurationConverter",4,0.00,1.00,46,0.65,11961.78,4,0,5,4,3,147.61,7,56,15.00
"TestConfigurationDynaBean",42,0.01,2.57,382,5.13,181834.58,54,12,6,49,2,113.87,152,756,22.00
"TestConfigurationFactory",13,0.12,1.08,117,1.58,34667.78,25,12,4,15,6,157.85,15,228,14.00
"TestConfigurationKey",8,0.10,1.00,93,1.08,32266.17,11,3,1,8,1,149.92,5,111,12.00
"TestConfigurationMap",5,0.17,1.40,28,0.33,7954.65,8,3,3,10,2,121.76,19,52,6.00
"TestConfigurationSet",6,0.20,1.67,36,0.49,13808.17,9,3,5,11,1,132.29,19,63,8.00
"TestConfigurationUtils",4,1.00,1.00,42,0.66,23137.19,5,1,3,5,3,153.05,4,81,14.00
"TestConfigurationXMLDocument",16,0.02,1.12,149,1.89,52781.93,22,6,12,16,8,136.38,41,200,19.00
"TestConfigurationXMLDocument$ConnectionData",6,0.00,1.00,16,0.07,552.10,9,3,12,6,0,187.33,4,30,0.00
"TestConfigurationXMLDocument$Table",8,0.00,1.00,20,0.11,972.93,11,3,12,8,0,170.23,20,38,3.00
"TestConfigurationXMLDocument$TableField",4,0.00,1.00,11,0.05,365.10,6,2,12,4,0,188.94,4,21,0.00
"TestDOM4JConfiguration",6,0.33,1.00,35,0.39,9709.52,9,3,2,8,1,166.93,6,49,8.00
"TestDatabaseConfiguration",18,0.00,1.00,89,1.09,16521.10,20,2,13,18,1,170.67,14,131,14.00
"TestEqualBehaviour",12,0.00,1.42,134,1.82,65474.87,12,0,5,12,3,132.88,30,166,24.00
