Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"Configuration",8,0.00,1.00,9,0.90,17878.28,8,0,5,8,92,104.92,96,12,0.00
"ConfigurationAssert",10,0.22,1.60,51,0.56,15187.91,14,4,12,11,50,71.91,78,80,10.00
"ConfigurationAttributePointer",14,0.38,1.07,35,0.32,4780.66,16,2,7,14,3,93.11,99,85,9.00
"ConfigurationBuilder",1,0.00,1.00,2,0.03,338.28,1,0,3,1,27,91.52,8,4,0.00
"ConfigurationBuilderEvent",2,3.00,1.00,8,0.12,3631.38,5,3,2,3,19,168.42,45,20,7.00
"ConfigurationBuilderProvider",1,0.00,1.00,2,0.02,289.00,1,0,3,1,12,91.68,10,6,0.00
"ConfigurationBuilderResultCreatedEvent",2,0.00,1.50,10,0.10,2211.72,4,2,2,3,10,159.91,42,25,0.00
"ConfigurationComparator",1,0.00,1.00,2,0.01,86.26,1,0,0,1,5,96.19,8,4,0.00
"ConfigurationConverter",5,1.00,1.80,33,0.35,15222.00,6,1,6,5,8,63.80,41,61,20.00
"ConfigurationDeclaration",10,0.89,1.20,30,0.37,9331.43,11,1,3,10,14,79.86,86,76,17.00
"ConfigurationDecoder",1,0.00,1.00,2,0.01,68.50,1,0,0,1,7,95.09,9,4,0.00
"ConfigurationDynaBean",11,0.30,2.82,79,1.11,44180.66,13,2,10,12,6,108.50,45,153,25.00
"ConfigurationDynaClass",5,0.12,4.00,52,0.67,33194.96,7,2,9,6,2,118.52,16,101,24.00
"ConfigurationErrorEvent",5,0.06,1.00,23,0.23,5304.06,13,8,0,6,19,148.50,95,41,0.00
"ConfigurationEvent",4,0.03,1.00,25,0.36,11269.38,17,13,0,5,40,130.91,134,47,0.00
"ConfigurationException",4,1.00,1.00,10,0.05,384.40,5,1,0,4,97,91.38,33,20,0.00
"ConfigurationInterpolator",22,0.02,1.59,96,0.89,24214.54,28,6,11,22,28,82.03,254,172,18.00
"ConfigurationInterpolator$StrLookup<Object>",1,0.00,1.00,4,0.04,1072.32,1,0,11,1,0,124.45,0,9,3.00
"ConfigurationLogger",16,0.93,1.12,38,0.29,4048.80,17,1,3,16,17,89.70,128,77,8.00
"ConfigurationLookup",3,0.50,1.33,10,0.07,857.52,4,1,1,3,7,89.69,34,22,3.00
"ConfigurationMap",5,0.25,1.00,15,0.15,2442.96,6,1,5,5,6,92.77,59,78,7.00
"ConfigurationMap$ConfigurationSet",3,1.00,1.33,15,0.12,2461.08,4,1,5,3,1,128.56,11,24,7.00
"ConfigurationMap$ConfigurationSet$ConfigurationSetIterator",4,0.00,1.00,10,0.09,1387.05,5,1,5,4,0,185.92,4,23,4.00
"ConfigurationMap$ConfigurationSet$Entry",4,0.33,1.00,12,0.10,1349.47,5,1,5,4,0,183.06,4,25,6.00
"ConfigurationNodeIteratorAttribute",5,0.08,1.80,28,0.41,15951.84,8,3,7,5,4,66.30,41,60,10.00
"ConfigurationNodeIteratorBase",14,0.08,1.14,40,0.39,7163.16,20,6,5,14,3,86.68,105,79,21.00
"ConfigurationNodeIteratorChildren",7,0.67,2.86,59,0.72,27020.03,8,1,10,7,3,57.57,63,112,14.00
"ConfigurationNodePointer",18,0.20,1.22,57,0.54,10820.24,21,3,8,18,10,86.22,130,120,12.00
"ConfigurationNodePointerFactory",4,1.00,1.50,16,0.23,6505.64,5,1,5,4,4,115.03,61,38,13.00
"ConfigurationNodePointerFactory$NodeWrapper",3,0.25,1.00,10,0.06,679.15,5,2,5,3,0,84.62,24,18,0.00
"ConfigurationRuntimeException",4,1.00,1.00,10,0.05,384.40,5,1,0,4,40,90.80,34,20,0.00
"ConfigurationUtils",19,0.14,2.37,114,1.51,53810.83,24,5,18,21,31,89.63,257,251,18.00
"ConfigurationUtils$EventListener<ConfigurationErrorEvent>",1,0.00,1.00,3,0.02,321.48,1,0,18,1,2,183.23,1,9,3.00
"ConfigurationUtils$EventSource",2,0.00,1.00,4,0.07,1181.15,2,0,18,2,2,137.72,0,14,7.00
"ConfigurationXMLReader",24,0.07,1.38,68,0.57,9378.04,30,6,10,25,3,93.22,162,155,12.00
"Configurations",38,0.97,1.00,78,0.93,14918.61,39,1,10,38,12,91.85,397,175,14.00
"ConstantLookup",4,0.00,2.25,32,0.36,14211.59,7,3,6,6,3,126.97,72,64,18.00
"ConstructorArg",11,0.17,1.27,39,0.35,8299.71,14,3,0,11,12,86.16,126,72,12.00
"ConversionException",4,1.00,1.00,10,0.05,384.40,5,1,0,4,9,90.80,34,20,0.00
"ConversionHandler",3,0.00,1.00,4,0.24,5295.24,3,0,3,3,11,136.79,47,7,0.00
"CopyObjectDefaultHandler",3,0.50,1.67,13,0.11,2023.47,4,1,2,3,8,142.72,54,32,7.00
"DataConfiguration",91,0.16,1.05,220,2.62,52575.22,96,5,15,92,7,90.95,1007,463,14.00
"DataConfiguration$DataConversionHandler",1,0.00,3.00,8,0.09,2143.34,1,0,15,1,1,128.52,18,18,6.00
"DatabaseBuilderParameters",0,0.00,0.00,1,0.01,108.00,0,0,3,0,7,171.00,0,5,0.00
"DatabaseBuilderParametersImpl",7,0.00,1.00,29,0.23,2634.42,14,7,1,7,5,139.22,24,54,5.00
"DatabaseBuilderProperties",7,0.00,1.00,8,0.50,8445.74,7,0,1,7,2,96.23,56,10,0.00
"DatabaseConfiguration",27,0.06,1.52,94,1.80,58091.95,39,12,18,27,10,77.03,280,186,15.00
"DatabaseConfiguration$JdbcOperation",7,0.17,1.71,49,0.48,12019.36,14,7,18,7,2,72.06,80,85,8.00
"DatabaseConfiguration$JdbcOperation<Boolean>",1,0.00,1.00,4,0.05,660.23,1,0,18,1,1,126.11,0,11,5.00
"DatabaseConfiguration$JdbcOperation<Collection<String>>",1,0.00,2.00,6,0.08,1655.26,1,0,18,1,1,116.17,0,15,8.00
"DatabaseConfiguration$JdbcOperation<Integer>",1,0.00,1.00,4,0.06,1244.26,1,0,18,1,1,123.94,0,11,8.00
"DatabaseConfiguration$JdbcOperation<Object>",1,0.00,4.00,14,0.19,7568.91,1,0,18,1,1,146.78,1,29,9.00
"DatabaseConfiguration$JdbcOperation<Void>",1,0.00,4.00,17,0.22,7370.62,1,0,18,1,2,93.73,0,30,9.00
"DatabaseConfiguration$JdbcOperation<Void>_0",1,0.00,1.00,5,0.05,710.51,1,0,18,1,2,122.24,0,12,5.00
"DatabaseConfiguration$JdbcOperation<Void>_1",1,0.00,1.00,4,0.04,432.19,1,0,18,1,2,127.56,0,11,5.00
"DatabaseConfigurationTestHelper",13,0.03,1.31,61,0.70,13084.52,26,13,16,13,10,72.04,119,118,19.00
"DefaultBeanFactory",15,0.26,1.67,79,1.03,34888.12,18,3,8,16,12,70.43,157,146,18.00
"DefaultConversionHandler",16,0.16,1.69,82,1.25,43358.81,21,5,7,18,17,84.50,202,155,27.00
"DefaultConversionHandler$ConfigurationInterpolator",1,0.00,1.00,3,0.01,179.38,1,0,7,1,0,135.22,0,8,2.00
"DefaultEntityResolver",3,1.00,2.33,22,0.27,8945.23,4,1,9,4,1,123.04,52,48,13.00
"DefaultFileSystem",9,0.00,3.78,86,1.06,47944.37,9,0,11,9,8,129.39,25,207,18.00
"DefaultFileSystem$HttpOutputStream",8,0.07,1.12,21,0.22,3720.06,10,2,11,8,1,184.10,8,49,11.00
"DefaultListDelimiterHandler",5,0.00,3.20,58,0.62,37970.29,8,3,4,5,33,91.62,76,92,39.00
"DefaultLookups",3,0.25,1.00,10,0.07,591.10,5,2,0,6,7,109.89,41,21,0.00
"DefaultParametersHandler",1,0.00,1.00,2,0.02,166.86,1,0,0,1,10,104.48,12,4,0.00
"DefaultParametersManager",6,0.40,2.00,30,0.30,7326.75,7,1,3,6,8,151.30,118,57,9.00
