Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"AbstractConfiguration",49,0.22,2.31,298,3.89,225244.37,53,4,10,49,25,99.70,230,611,20.00
"AbstractConfiguration$Predicate",1,0.00,1.00,4,0.04,831.53,1,0,10,1,0,125.32,0,8,5.00
"AbstractConfiguration$PropertiesTokenizer",2,0.00,2.00,13,0.14,4346.06,2,0,13,2,0,68.22,15,26,9.00
"AbstractFileConfiguration",41,0.12,1.73,170,1.49,38527.16,47,6,14,42,9,94.72,237,364,15.00
"AppletConfiguration",7,0.83,1.14,25,0.25,7233.01,8,1,6,7,3,129.44,27,40,14.00
"BaseConfiguration",8,0.14,1.50,30,0.25,7386.88,9,1,5,9,17,75.97,74,62,6.00
"BaseConfigurationXMLReader",6,0.80,1.00,17,0.09,727.27,7,1,0,6,3,95.20,42,31,3.00
"BaseConfigurationXMLReader$SAXConverter",2,0.00,1.50,7,0.05,632.46,2,0,0,2,1,82.57,16,15,3.00
"BaseNonStringProperties",24,0.02,1.00,67,0.61,7612.66,26,2,1,25,4,167.26,5,115,12.00
"CompositeConfiguration",17,0.06,2.24,115,1.08,31101.68,19,2,4,18,11,85.39,97,175,15.00
"Configuration",41,0.00,1.00,42,22.80,804665.33,41,0,5,41,43,93.57,459,44,0.00
"ConfigurationComparator",1,0.00,1.00,2,0.01,86.26,1,0,0,1,3,96.19,8,4,0.00
"ConfigurationConverter",6,0.00,1.83,32,0.36,11096.37,6,0,6,6,6,76.82,41,56,18.00
"ConfigurationDynaBean",10,0.11,4.70,134,1.74,166618.51,12,2,9,11,5,80.11,48,209,26.00
"ConfigurationDynaClass",5,0.12,4.00,51,0.63,25088.53,7,2,9,6,2,82.25,26,94,24.00
"ConfigurationException",4,0.00,1.00,9,0.04,309.35,4,0,1,4,13,97.05,30,19,0.00
"ConfigurationFactory",18,0.01,1.50,99,1.05,27807.27,31,13,17,19,9,68.03,158,203,21.00
"ConfigurationFactory$AdditionalConfigurationData",4,0.00,1.00,11,0.05,361.71,6,2,17,4,1,94.84,29,21,1.00
"ConfigurationFactory$ConfigurationBuilder",6,0.00,1.67,32,0.30,6814.82,8,2,17,6,3,74.75,44,57,9.00
"ConfigurationFactory$DigesterConfigurationFactory",2,1.00,1.00,6,0.04,408.75,3,1,17,2,0,84.78,18,12,5.00
"ConfigurationFactory$FileConfigurationFactory",2,0.00,2.00,14,0.20,7462.72,2,0,17,2,3,60.89,18,31,15.00
"ConfigurationFactory$HierarchicalConfigurationNodeConverter",4,0.17,1.25,18,0.16,3009.43,6,2,17,4,1,79.56,29,30,8.00
"ConfigurationFactory$JNDIConfigurationFactory",1,0.00,1.00,3,0.01,103.10,1,0,17,1,0,137.35,4,7,0.00
"ConfigurationFactory$SystemConfigurationFactory",1,0.00,1.00,3,0.01,103.10,1,0,17,1,0,137.35,4,7,0.00
"ConfigurationKey",21,0.03,1.48,83,0.91,25799.58,28,7,3,21,16,78.49,157,155,21.00
"ConfigurationKey$KeyIterator",14,0.03,1.79,70,0.61,20718.81,20,6,3,14,0,75.17,102,132,7.00
"ConfigurationMap",4,0.33,1.00,13,0.11,1633.90,5,1,5,4,3,84.08,31,65,6.00
"ConfigurationMap$ConfigurationSet",3,1.00,1.33,15,0.08,1343.84,4,1,5,3,1,157.67,7,22,4.00
"ConfigurationMap$ConfigurationSet$ConfigurationSetIterator",4,0.00,1.00,10,0.06,597.18,5,1,5,4,0,138.81,0,20,3.00
"ConfigurationMap$ConfigurationSet$Entry",4,0.33,1.00,12,0.08,1005.13,5,1,5,4,0,134.07,0,22,6.00
"ConfigurationRuntimeException",4,0.00,1.00,9,0.04,309.35,4,0,1,4,3,95.73,31,19,0.00
"ConfigurationUtils",14,0.46,3.64,134,1.72,101561.11,16,2,7,15,5,53.18,125,285,21.00
"ConfigurationXMLReader",24,0.08,1.38,68,0.52,8793.71,30,6,10,25,2,94.20,160,141,12.00
"ConversionException",4,0.00,1.00,9,0.04,309.35,4,0,0,4,6,95.73,31,19,0.00
"DataConfiguration",87,0.30,2.61,634,9.14,563585.36,90,3,14,87,5,63.96,955,1261,29.00
"DatabaseConfiguration",10,0.52,3.90,151,2.05,73480.89,17,7,12,11,2,46.90,82,280,23.00
"FileChangedReloadingStrategy",8,0.04,1.25,28,0.20,3204.47,12,4,1,8,3,142.79,27,50,3.00
"FileConfiguration",29,0.00,1.00,30,10.14,271442.42,29,0,7,29,8,108.02,171,32,0.00
"HierarchicalConfiguration",24,0.46,2.25,169,2.01,62105.96,26,2,11,25,9,82.61,312,277,25.00
"HierarchicalConfiguration$BuilderVisitor",2,0.00,5.00,28,0.38,30131.90,2,0,11,2,1,133.50,42,48,53.00
"HierarchicalConfiguration$CloneVisitor",4,0.17,1.50,17,0.14,2097.07,6,2,11,4,1,83.51,28,31,7.00
"HierarchicalConfiguration$DefinedKeysVisitor",5,0.12,1.60,21,0.18,4181.53,7,2,11,5,1,85.59,33,42,7.00
"HierarchicalConfiguration$DefinedVisitor",3,0.50,1.00,8,0.05,436.98,4,1,11,3,1,89.74,24,16,2.00
