Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF, LCOM2, MAXCC, R-R, NSUB, NSUP, NCO, FOUT, DIT, CCOM, COH, S-R, Superclass, MINC, EXT, INTR, MPC, HVOL, HIER, HLTH, SIX, TCC, NQU, F-IN, MOD, LMC
"TestFileBasedConfigurationBuilder",26,0.18,1.12,187,3.06,90083.82,28,2,30,27,16,103.80,114,374,27.00,38.00,4,0.00,0,0,25,16,1,31,0.33,0.00,java.lang.Object,110.91,1,0,1,9167.73,7,1794,0.00,29,1,0,1,2
"TestFileBasedConfigurationBuilder$PropertiesConfiguration",0,0.00,0.00,1,0.00,0.00,0,0,30,0,0,171.00,0,3,0.00,0.00,0,0.00,0,0,0,0,1,0,0.00,0.00,java.lang.Object,171.00,0,0,0,0.00,0,0,0.00,0,0,0,2,0
"TestFileExtensionConfigurationBuilderProvider",12,0.24,1.00,51,0.83,15644.50,15,3,13,12,9,115.10,53,145,17.00,0.00,1,0.00,0,0,10,9,1,13,0.56,0.00,java.lang.Object,122.80,0,0,0,2487.31,1,528,0.00,12,2,0,1,2
"TestFileHandler",90,0.13,1.19,616,8.39,210843.49,93,3,35,91,12,122.87,317,1028,21.00,2174.00,5,0.00,0,0,86,12,1,98,0.21,0.00,java.lang.Object,113.03,1,0,1,25169.49,7,5130,0.00,107,4,0,1,4
"TestFileHandler$FileBasedFileLocatorAwareTestImpl",4,0.00,1.00,12,0.14,2113.46,5,1,35,4,3,157.26,11,27,19.00,0.00,1,0.50,0,1,3,3,2,2,1.00,0.00,org.apache.commons.configuration2.io.FileBasedTestImpl,131.53,0,1,0,427.13,4,102,0.00,4,1,0,3,0
"TestFileHandler$FileBasedInputStreamSupportTestImpl",1,0.00,2.00,7,0.09,2590.80,1,0,35,1,2,112.37,4,16,9.00,1.00,2,0.50,0,1,1,2,2,1,0.00,0.00,org.apache.commons.configuration2.io.FileBasedTestImpl,112.14,0,1,0,270.67,1,58,0.00,2,0,0,2,0
"TestFileHandler$FileBasedTestImpl",4,0.67,1.00,11,0.09,1253.15,5,1,35,4,2,145.02,14,24,5.00,4.00,1,0.00,0,0,3,2,1,3,0.50,0.00,java.lang.Object,134.73,0,1,0,282.57,1,75,0.00,4,1,0,2,1
"TestFileHandler$FileHandlerListenerTestImpl",8,0.21,1.00,26,0.22,2830.38,10,2,35,8,2,171.49,16,51,4.00,14.00,1,0.50,0,1,8,2,2,3,0.31,0.00,org.apache.commons.configuration2.io.FileHandlerListenerAdapter,131.60,0,0,0,663.57,6,172,0.00,8,0,0,2,1
"TestFileHandler$Thread",1,0.00,1.00,3,0.02,139.81,1,0,35,1,0,136.08,0,8,1.00,1.00,1,0.00,0,0,1,0,1,0,0.00,0.00,java.lang.Object,136.08,0,0,0,46.60,0,13,0.00,1,0,0,2,0
"TestFileHandler$Thread_0",1,0.00,1.00,3,0.02,139.81,1,0,35,1,0,136.08,0,8,1.00,0.00,1,0.00,0,0,1,0,1,0,0.00,0.00,java.lang.Object,136.08,0,0,0,46.60,0,13,0.00,1,0,0,2,0
"TestFileHandler$Thread_1",1,0.00,1.00,3,0.02,139.81,1,0,35,1,0,136.08,0,8,1.00,1.00,1,0.00,0,0,1,0,1,0,0.00,0.00,java.lang.Object,136.08,0,0,0,46.60,0,13,0.00,1,0,0,2,0
"TestFileHandler$Thread_2",1,0.00,1.00,3,0.02,139.81,1,0,35,1,0,136.08,0,8,1.00,1.00,1,0.00,0,0,1,0,1,0,0.00,0.00,java.lang.Object,136.08,0,0,0,46.60,0,13,0.00,1,0,0,2,0
"TestFileHandlerReloadingDetector",11,0.60,1.00,81,1.37,40786.98,12,1,10,11,2,112.35,43,126,21.00,16.00,1,0.00,0,0,11,2,1,13,0.45,0.00,java.lang.Object,110.32,0,0,0,4112.87,5,802,0.00,11,0,0,1,0
