Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"AbsoluteNameLocationStrategy",1,0.00,3.00,7,0.10,2394.70,1,0,3,1,6,130.31,18,16,13.00
"AbstractCombinerTest",4,0.11,1.00,19,0.24,5211.28,7,3,10,5,11,85.85,25,34,17.00
"AbstractConfiguration",111,0.12,1.42,467,5.72,188105.81,118,7,30,111,59,78.98,787,937,17.00
"AbstractConfiguration$EventListener<ConfigurationErrorEvent>",1,0.00,1.00,3,0.03,326.67,1,0,30,1,1,133.17,0,8,3.00
"AbstractEventListenerTestImpl",6,0.20,1.33,23,0.27,5297.19,8,2,5,6,5,93.50,36,43,5.00
"AbstractHierarchicalConfiguration",37,0.46,1.51,180,2.47,90347.26,39,2,24,37,20,72.80,397,345,22.00
"AbstractHierarchicalConfiguration$DefinedKeysVisitor",6,0.20,1.33,26,0.30,7101.56,8,2,24,6,2,92.62,35,46,9.00
"AbstractHierarchicalConfiguration$DefinedVisitor",3,0.50,1.00,8,0.09,1838.62,4,1,24,3,2,84.83,24,21,24.00
"AbstractImmutableNodeHandler",14,0.00,1.21,38,0.56,13269.77,14,0,4,14,8,164.58,33,89,15.00
"AbstractImmutableNodeHandlerTest",26,0.00,1.19,136,2.33,71252.57,26,0,12,26,6,127.14,91,261,23.00
"AbstractImmutableNodeHandlerTest$DummyNodeMatcher",1,0.00,1.00,3,0.04,612.77,1,0,12,1,2,151.64,3,7,5.00
"AbstractImmutableNodeHandlerTest$NodeMatcher<ImmutableNode>",1,0.00,1.00,4,0.06,1291.90,1,0,12,1,2,123.81,0,10,7.00
"AbstractListDelimiterHandler",8,0.00,2.00,36,0.57,27938.54,8,0,5,8,6,79.79,95,73,16.00
"AbstractMultiFileConfigurationBuilderTest",5,0.25,1.20,18,0.19,3417.19,8,3,5,5,7,85.36,35,42,14.00
"AbstractTestConfigurationEvents",10,0.42,1.00,64,0.69,10524.91,15,5,3,10,9,105.87,46,105,10.00
"AbstractTestPListEvents",2,1.00,1.00,13,0.14,1962.68,4,2,3,2,4,74.60,14,27,6.00
"AbstractXPathTest",6,0.07,1.83,49,0.54,20288.12,14,8,9,6,7,60.66,48,71,11.00
"AbstractYAMLBasedConfiguration",9,0.00,2.00,60,0.82,33295.87,9,0,9,9,7,61.93,78,101,14.00
"AlwaysReloadingDetector",2,0.00,1.00,4,0.02,146.96,2,0,0,2,3,119.28,11,12,1.00
"AppletConfiguration",3,0.50,1.33,15,0.17,7475.66,4,1,3,3,2,105.67,14,24,7.00
"AutoSaveListener",7,0.00,1.57,26,0.24,4305.94,11,4,7,8,7,78.19,68,57,11.00
"BaseConfiguration",10,0.11,1.50,44,0.58,21573.32,11,1,7,11,31,74.68,75,95,9.00
"BaseConfigurationBuilderProvider",16,0.09,1.56,76,0.97,28209.49,21,5,11,16,14,79.59,186,159,15.00
"BaseConfigurationXMLReader",6,0.80,1.00,17,0.10,949.15,7,1,0,6,3,97.16,40,33,3.00
"BaseConfigurationXMLReader$SAXConverter",2,0.00,1.50,7,0.06,1005.81,2,0,0,2,1,80.98,16,17,3.00
"BaseEventSource",17,0.06,1.53,65,0.86,23091.89,20,3,4,18,11,75.14,166,142,12.00
"BaseHierarchicalConfiguration",33,0.97,1.42,173,2.18,71024.79,34,1,24,33,56,69.60,263,339,18.00
"BaseHierarchicalConfiguration$BaseHierarchicalConfiguration",2,0.00,1.00,5,0.04,599.36,2,0,24,2,1,181.19,1,13,3.00
"BaseHierarchicalConfiguration$BuilderVisitor",5,0.00,2.60,36,0.49,39071.84,5,0,24,5,4,67.35,58,72,26.00
"BaseHierarchicalConfiguration$EventListener<ConfigurationEvent>",1,0.00,1.00,3,0.02,175.66,1,0,24,1,1,135.30,0,8,1.00
"BaseHierarchicalConfiguration$InterpolatedVisitor",13,0.25,1.38,51,0.74,21141.56,15,2,24,13,3,91.98,77,116,15.00
"BaseNonStringProperties",23,0.00,1.00,66,0.70,10601.48,25,2,3,24,4,163.14,4,137,12.00
"BasePathLocationStrategy",1,0.00,3.00,7,0.10,1944.30,1,0,3,1,6,146.27,20,18,13.00
"BaseWebConfiguration",5,0.00,1.20,14,0.17,4156.48,5,0,2,5,5,82.57,50,33,13.00
"BasicBuilderParameters",29,0.03,1.76,138,1.83,61124.69,41,12,13,29,34,69.20,267,300,19.00
"BasicBuilderProperties",11,0.00,1.00,12,1.64,28398.13,11,0,10,11,19,97.87,120,14,0.00
"BasicConfigurationBuilder",36,0.08,1.56,157,1.87,46937.28,42,6,20,36,43,74.83,371,295,15.00
"BasicConfigurationBuilder$BeanDeclaration",6,0.00,1.00,13,0.10,1175.49,6,0,20,6,1,184.96,3,33,5.00
"BeanCreationContext",5,0.00,1.00,6,0.23,3371.02,5,0,0,5,9,106.76,33,8,0.00
"BeanCreationTestBean",6,0.20,1.00,16,0.09,956.29,9,3,0,6,6,185.45,4,30,0.00
"BeanCreationTestBeanWithListChild",6,0.13,1.00,17,0.12,1591.84,9,3,2,7,3,184.33,5,31,0.00
"BeanCreationTestCtorBean",4,0.00,1.00,9,0.05,445.35,4,0,0,4,2,191.52,4,19,0.00
"BeanDeclaration",6,0.00,1.00,7,0.32,4279.34,6,0,2,6,19,95.87,53,9,0.00
"BeanDeclarationTestImpl",12,0.08,1.00,31,0.25,3258.06,18,6,2,12,4,182.79,7,64,0.00
"BeanFactory",2,0.00,1.00,3,0.05,577.00,2,0,0,2,6,100.70,22,5,0.00
