Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"BeanHelper",23,0.12,2.26,140,1.82,82653.19,27,4,19,25,25,72.57,266,292,23.00
"BeanHelper$BeanCreationContextImpl",6,0.00,1.00,20,0.16,2511.15,10,4,19,6,3,170.51,12,40,4.00
"BuilderConfigurationWrapperFactory",6,0.80,1.50,23,0.31,11209.77,7,1,6,6,8,107.84,87,55,13.00
"BuilderConfigurationWrapperFactory$BuilderConfigurationWrapperInvocationHandler",4,0.17,1.25,15,0.21,4503.83,6,2,6,4,3,89.62,49,39,8.00
"BuilderConfigurationWrapperFactory$EventSourceSupport",0,0.00,0.00,1,0.01,15.51,0,0,6,0,0,171.00,34,6,0.00
"BuilderEventListenerImpl",4,0.17,1.25,18,0.20,4519.71,6,2,8,5,8,76.59,30,35,7.00
"BuilderParameters",1,1.00,1.00,3,0.03,273.15,2,1,1,1,37,142.92,17,5,0.00
"CatalogResolver",12,0.04,1.50,58,0.66,22375.04,19,7,17,13,10,69.38,109,107,17.00
"CatalogResolver$Catalog",3,0.00,5.33,62,0.90,47643.23,5,2,17,4,3,37.86,26,122,72.00
"CatalogResolver$CatalogManager",8,0.07,1.50,32,0.30,7895.97,12,4,17,9,2,110.96,38,63,5.00
"ClasspathLocationStrategy",1,0.00,1.00,3,0.05,798.35,1,0,2,1,6,148.25,18,9,49.00
"CombinedBeanDeclaration",7,0.00,2.71,60,0.51,19221.93,8,1,7,7,4,60.01,70,90,10.00
"CombinedBuilderParameters",0,0.00,0.00,1,0.01,108.00,0,0,3,0,6,171.00,0,5,0.00
"CombinedBuilderParametersImpl",24,0.03,1.38,94,0.96,21596.41,32,8,13,24,17,75.44,210,193,13.00
"CombinedBuilderProperties",8,0.00,1.00,9,1.33,27138.70,8,0,5,8,7,107.42,100,14,0.00
"CombinedConfiguration",35,0.03,1.97,244,2.20,58207.99,44,9,25,38,40,77.91,428,473,15.00
"CombinedConfiguration$ConfigData",10,0.00,1.30,51,0.55,13982.62,15,5,25,10,5,74.42,74,98,13.00
"CombinedConfigurationBuilder",41,0.00,1.83,276,3.93,139368.04,91,50,39,46,52,103.70,624,566,100.00
"CombinedConfigurationBuilder$ConfigurationSourceData",13,0.07,1.69,73,0.88,25600.08,18,5,39,13,10,71.23,97,136,13.00
"CombinedConfigurationBuilder$ConfigurationSourceData$EventListener<ConfigurationBuilderEvent>",1,0.00,1.00,3,0.01,103.78,1,0,39,1,1,137.10,0,8,1.00
"CombinedConfigurationBuilder$EventListener<ConfigurationBuilderEvent>",1,0.00,1.00,5,0.03,366.95,1,0,39,1,2,124.50,0,12,2.00
"CombinedConfigurationBuilderProvider",4,0.07,1.25,21,0.29,6021.17,9,5,7,4,9,76.16,45,54,25.00
"CombinedLocationStrategy",3,0.50,2.33,19,0.17,4416.37,4,1,4,3,6,111.86,47,39,6.00
"CombinedReloadingController",5,0.00,1.60,25,0.22,7155.45,8,3,3,6,6,105.40,73,47,6.00
"CombinedReloadingController$MultiReloadingControllerDetector",3,0.00,2.00,18,0.09,1267.24,4,1,3,3,3,78.55,21,29,4.00
"CompositeConfiguration",25,0.04,2.40,190,1.73,56841.70,28,3,10,26,11,62.63,203,337,17.00
