Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"ConfigurationListener",1,0.00,1.00,2,0.01,58.06,1,0,0,1,25,113.43,6,4,0.00
"ConfigurationListenerTestImpl",7,0.08,1.29,28,0.30,4320.28,9,2,5,7,4,83.98,49,49,6.00
"ConfigurationMap",5,0.25,1.00,15,0.15,2442.96,6,1,5,5,5,92.77,59,72,7.00
"ConfigurationMap$ConfigurationSet",3,1.00,1.33,15,0.12,2461.08,4,1,5,3,1,128.56,11,24,7.00
"ConfigurationMap$ConfigurationSet$ConfigurationSetIterator",4,0.00,1.00,10,0.08,1168.55,5,1,5,4,0,186.51,4,20,4.00
"ConfigurationMap$ConfigurationSet$Entry",4,0.33,1.00,12,0.09,1122.23,5,1,5,4,0,183.69,4,22,6.00
"ConfigurationNode",31,0.00,1.00,32,10.21,215022.30,31,0,1,31,68,114.67,170,34,0.00
"ConfigurationNodeIteratorAttribute",2,1.00,2.00,13,0.17,5532.27,3,1,6,2,4,68.98,22,28,15.00
"ConfigurationNodeIteratorBase",11,0.00,1.27,37,0.30,5053.84,16,5,4,11,3,82.74,86,71,28.00
"ConfigurationNodeIteratorChildren",3,0.00,4.67,39,0.46,21213.74,3,0,11,3,4,60.50,36,70,37.00
"ConfigurationNodePointer",15,0.25,1.40,52,0.51,18503.53,17,2,9,15,8,81.95,109,114,13.00
"ConfigurationNodePointerFactory",3,1.00,1.67,12,0.10,1514.57,4,1,5,3,4,84.72,34,27,8.00
"ConfigurationNodeVisitor",3,0.00,1.00,4,0.07,562.94,3,0,0,3,5,105.92,21,6,0.00
"ConfigurationNodeVisitorAdapter",3,0.00,1.00,5,0.02,126.95,3,0,0,3,2,102.37,31,14,1.00
"ConfigurationRuntimeException",4,1.00,1.00,10,0.05,384.40,5,1,1,4,25,90.80,34,20,0.00
"ConfigurationUtils",22,0.13,3.27,194,2.51,122964.34,28,6,17,23,24,68.25,265,390,25.00
"ConfigurationUtils$ConfigurationErrorListener",1,0.00,1.00,3,0.02,241.76,1,0,17,1,2,184.20,1,7,4.00
"ConfigurationXMLReader",24,0.08,1.38,68,0.52,8793.71,30,6,10,25,2,93.44,162,141,12.00
"ConstantLookup",4,0.00,2.25,32,0.38,14773.59,7,3,7,6,1,126.84,72,64,18.00
"ConversionException",4,1.00,1.00,10,0.05,384.40,5,1,0,4,6,90.80,34,20,0.00
"DataConfiguration",97,0.23,1.45,353,5.11,285848.32,101,4,16,97,6,81.99,1125,689,18.00
"DatabaseConfiguration",17,0.12,2.94,184,2.41,96017.02,24,7,11,17,5,83.18,240,354,21.00
"DatabaseConfigurationTestHelper",9,0.10,1.44,53,0.51,9351.74,22,13,11,9,6,68.19,81,93,9.00
"DefaultBeanFactory",4,1.00,1.00,12,0.12,2203.52,5,1,0,5,8,128.46,63,25,7.00
"DefaultConfigurationBuilder",26,0.00,1.92,211,2.66,86642.05,68,42,27,31,35,116.95,439,363,100.00
"DefaultConfigurationBuilder$ConfigurationBeanFactory",2,1.00,4.00,22,0.33,15843.71,3,1,27,3,3,104.92,33,57,32.00
