Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"BeanProcessorTest$MapColumnToPropertiesBean",8,0.14,1.00,21,0.11,1058.54,12,4,6,8,0,138.43,0,30,0.00
"BooleanColumnHandler",2,0.00,1.00,5,0.08,1617.97,2,0,3,2,2,133.03,0,10,7.00
"BooleanColumnHandlerTest",2,0.00,1.00,6,0.08,1036.55,2,0,5,2,2,131.60,0,11,8.00
"ByteColumnHandler",2,0.00,1.00,5,0.08,1617.97,2,0,3,2,2,133.03,0,10,7.00
"ByteColumnHandlerTest",2,0.00,1.00,6,0.08,1036.55,2,0,5,2,2,131.60,0,11,8.00
"ColumnHandler",2,0.00,1.00,3,0.06,761.66,2,0,2,2,14,95.77,16,4,0.00
"ColumnHandlerTestBase",4,0.11,1.00,12,0.10,1359.52,7,3,6,4,11,133.04,0,20,2.00
"ColumnListHandler",5,0.38,1.20,17,0.15,2467.11,7,2,2,5,2,81.21,50,26,10.00
"ColumnListHandlerTest",4,0.00,1.00,27,0.42,9702.42,4,0,4,4,3,162.06,3,32,13.00
"DatePropertyHandler",2,0.00,4.50,23,0.36,16012.98,2,0,2,2,2,99.66,0,35,12.00
"DatePropertyHandlerTest",6,0.00,1.00,18,0.36,7485.06,7,1,7,6,1,128.59,0,31,15.00
"DbUtils",19,0.00,2.00,80,0.79,23121.86,19,0,14,19,2,80.25,134,138,12.00
"DbUtils$DriverProxy",8,0.00,1.50,29,0.31,8558.76,10,2,14,8,0,121.35,34,49,6.00
"DbUtilsTest",33,0.00,1.06,145,1.73,35004.57,33,0,8,33,1,141.78,2,216,18.00
"DoubleColumnHandler",2,0.00,1.00,5,0.08,1617.97,2,0,3,2,2,133.03,0,10,7.00
"DoubleColumnHandlerTest",2,0.00,1.00,6,0.08,1036.55,2,0,5,2,2,131.60,0,11,8.00
