Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"AbstractKeyedHandler",4,0.00,1.25,10,0.13,2464.61,4,0,5,4,2,86.27,41,14,7.00
"AbstractListHandler",2,0.00,1.50,7,0.09,2140.62,2,0,5,2,4,88.94,24,10,8.00
"AbstractQueryRunner",16,0.37,2.31,111,1.36,76529.72,18,2,14,16,3,65.64,175,151,25.00
"ArrayHandler",3,0.25,1.00,10,0.09,1307.37,5,2,5,4,12,90.52,35,14,5.00
"ArrayHandlerTest",2,0.00,1.00,13,0.16,3582.29,2,0,3,2,3,161.80,3,16,9.00
"ArrayListHandler",3,1.00,1.00,9,0.07,849.20,4,1,3,3,4,84.34,29,14,4.00
"ArrayListHandlerTest",2,0.00,1.00,26,0.37,11753.79,2,0,5,2,3,146.50,3,29,12.00
"AsyncQueryRunner",19,0.39,2.00,107,1.59,70061.59,20,1,8,19,3,67.95,200,147,23.00
"AsyncQueryRunner$BatchCallableStatement",2,0.60,2.00,21,0.19,4275.24,7,5,8,2,0,57.75,20,28,6.00
"AsyncQueryRunner$QueryCallableStatement",2,0.67,2.00,27,0.25,6434.69,8,6,8,2,1,56.63,22,37,7.00
"AsyncQueryRunner$UpdateCallableStatement",2,0.60,2.00,21,0.18,3940.27,7,5,8,2,0,59.89,21,28,6.00
"AsyncQueryRunnerTest",43,0.16,1.14,227,3.49,75854.60,50,7,20,43,2,160.69,18,314,18.00
"AsyncQueryRunnerTest$MyBean",6,0.20,1.00,16,0.08,781.52,9,3,20,6,0,182.99,3,11,0.00
"BaseTestCase",2,0.33,1.00,16,0.32,6586.51,11,9,5,7,18,71.82,24,54,4.00
"BasicRowProcessor",7,0.17,1.29,35,0.37,11067.06,10,3,6,9,6,77.89,80,40,9.00
"BasicRowProcessor$CaseInsensitiveHashMap",5,0.12,1.20,25,0.32,7393.47,7,2,6,6,0,71.21,50,34,9.00
"BasicRowProcessorTest",4,0.33,1.00,75,1.18,35703.64,6,2,7,6,4,127.65,9,81,12.00
"BeanHandler",3,0.25,1.00,10,0.11,1771.86,5,2,4,3,4,97.19,38,14,5.00
"BeanHandlerTest",2,0.00,1.00,13,0.18,4372.35,2,0,4,2,4,161.11,3,16,12.00
"BeanListHandler",3,0.25,1.00,10,0.11,1576.85,5,2,5,3,4,103.45,40,14,5.00
