Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"AbstractListHandler",2,0.00,1.50,7,0.07,1161.31,2,0,5,2,4,80.12,20,10,6.00
"ArrayHandler",3,0.25,1.00,10,0.08,1012.00,5,2,5,4,10,91.40,35,14,5.00
"ArrayHandlerTest",2,0.00,1.00,13,0.15,2811.67,2,0,3,2,3,162.62,3,16,10.00
"ArrayListHandler",3,1.00,1.00,9,0.06,603.57,4,1,3,3,4,85.50,29,13,4.00
"ArrayListHandlerTest",2,0.00,1.00,26,0.33,8602.42,2,0,5,2,3,147.57,3,29,13.00
"BaseTestCase",2,0.33,1.00,16,0.31,5999.33,11,9,5,8,18,72.14,24,53,4.00
"BasicRowProcessor",7,0.17,1.29,35,0.32,8911.66,10,3,7,9,6,70.18,63,39,8.00
"BasicRowProcessor$CaseInsensitiveHashMap",5,0.12,1.20,24,0.29,5183.36,7,2,7,6,0,84.00,60,31,10.00
"BasicRowProcessorTest",4,0.33,1.00,75,1.17,34990.28,6,2,7,6,4,127.72,9,81,14.00
"BeanHandler",3,0.25,1.00,10,0.09,1266.14,5,2,4,3,4,95.61,37,14,5.00
"BeanHandlerTest",2,0.00,1.00,13,0.16,3124.75,2,0,4,2,4,162.26,3,16,13.00
"BeanListHandler",3,0.25,1.00,10,0.07,868.62,5,2,4,3,4,102.50,39,14,4.00
"BeanListHandlerTest",2,0.00,1.00,26,0.35,9322.78,2,0,6,2,4,147.30,3,29,18.00
"BeanProcessor",10,0.39,5.00,134,2.19,137663.43,12,2,15,11,2,120.73,189,189,41.00
"BeanProcessorTest",1,0.00,1.00,11,0.15,4129.65,2,1,1,2,3,103.45,0,13,15.00
"ColumnListHandler",5,0.38,1.20,17,0.12,1985.92,7,2,2,5,2,81.65,41,25,4.00
"ColumnListHandlerTest",4,0.00,1.00,27,0.34,5688.96,4,0,4,4,3,163.88,3,32,12.00
"DbUtils",17,0.00,2.12,68,0.60,11864.21,17,0,5,17,1,84.83,116,121,11.00
"GenericListHandler",2,0.00,1.50,7,0.07,1161.31,2,0,5,2,1,80.12,20,10,6.00
"KeyedHandler",9,0.25,1.11,28,0.24,3445.74,12,3,6,9,4,89.86,102,41,6.00
"KeyedHandlerTest",4,0.00,1.75,57,0.80,20960.87,4,0,5,4,3,98.27,0,65,15.00
"MapHandler",3,1.00,1.00,9,0.07,900.14,4,1,4,3,4,87.61,32,13,5.00
"MapHandlerTest",2,0.00,1.00,13,0.16,2758.66,2,0,4,2,3,162.69,3,16,11.00
"MapListHandler",3,1.00,1.00,9,0.06,603.57,4,1,3,3,4,86.35,30,13,4.00
"MapListHandlerTest",2,0.00,1.00,26,0.36,9108.97,2,0,6,2,3,147.37,3,29,13.00
"MockResultSet",19,0.03,2.58,126,1.99,79876.30,23,4,8,19,4,108.39,79,179,24.00
"MockResultSetMetaData",3,1.00,2.67,21,0.33,13615.63,4,1,3,3,2,97.86,14,31,30.00
"ProxyFactory",9,0.02,1.00,27,0.38,6034.91,17,8,9,11,9,81.57,75,64,12.00
"ProxyFactoryTest",7,0.00,1.00,16,0.18,1905.67,8,1,2,8,2,184.54,4,23,6.00
"ProxyFactoryTest$InvocationHandler",1,0.00,1.00,3,0.02,290.57,1,0,2,1,0,133.57,0,6,5.00
"QueryLoader",5,0.25,1.40,22,0.21,5345.28,7,2,5,7,2,73.36,48,30,7.00
"QueryLoaderTest",1,0.00,2.00,12,0.14,3991.68,2,1,2,1,2,69.70,6,17,11.00
"QueryRunner",31,0.45,1.77,183,2.29,95469.02,33,2,14,31,4,73.59,358,264,21.00
"QueryRunnerTest",16,0.01,1.56,80,1.18,28366.11,21,5,11,16,3,150.39,3,104,18.00
