Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"ArrayHandler",3,1.00,1.00,9,0.07,956.66,4,1,5,4,4,89.13,33,13,5.00
"ArrayHandlerTest",3,0.00,1.00,15,0.16,2886.67,3,0,3,3,3,148.62,8,19,10.00
"ArrayListHandler",3,1.00,1.33,12,0.09,1507.12,4,1,7,4,4,87.01,35,17,9.00
"ArrayListHandlerTest",3,0.00,1.33,21,0.24,5019.33,3,0,5,3,3,141.20,8,26,13.00
"BaseTestCase",4,0.04,1.00,34,0.49,12911.96,13,9,15,9,15,59.54,33,70,7.00
"BasicRowProcessor",12,0.24,3.25,128,1.65,78848.93,15,3,14,14,10,76.98,162,175,28.00
"BasicRowProcessor$CaseInsensitiveHashMap",5,0.00,1.20,15,0.18,2540.15,5,0,14,5,0,131.85,20,22,7.00
"BasicRowProcessorTest",5,0.25,1.60,58,0.75,18222.43,6,1,3,6,4,145.93,9,67,11.00
"BeanHandler",3,0.25,1.00,10,0.10,1466.06,5,2,5,4,4,103.70,40,14,5.00
"BeanHandlerTest",3,0.00,1.00,15,0.17,3199.75,3,0,4,3,4,148.27,8,19,13.00
"BeanListHandler",3,0.25,1.00,10,0.08,1068.54,5,2,5,4,4,107.87,41,14,4.00
"BeanListHandlerTest",3,0.00,1.33,22,0.27,5870.02,3,0,6,3,4,139.91,8,27,16.00
"DbUtils",15,0.00,2.13,57,0.52,9838.68,15,0,5,15,1,125.63,61,99,10.00
"MapHandler",3,1.00,1.00,9,0.07,956.66,4,1,5,4,4,91.10,34,13,5.00
"MapHandlerTest",3,0.00,1.00,15,0.17,2833.66,3,0,4,3,3,148.68,8,19,11.00
"MapListHandler",3,1.00,1.33,12,0.09,1507.12,4,1,7,4,4,82.84,33,17,9.00
"MapListHandlerTest",3,0.00,1.33,21,0.26,5107.27,3,0,6,3,3,141.14,8,26,13.00
"MockResultSet",12,0.05,2.33,69,0.95,32857.48,16,4,8,12,4,137.39,35,94,14.00
"MockResultSetMetaData",3,1.00,2.33,20,0.29,9672.22,4,1,3,3,2,84.20,17,32,11.00
"ProxyFactory",9,0.02,1.00,27,0.38,6034.91,17,8,9,11,8,84.68,68,64,12.00
"ProxyFactoryTest",8,0.14,1.00,18,0.21,2416.07,9,1,9,9,2,187.89,9,37,7.00
"ProxyFactoryTest$InvocationHandler",1,0.00,1.00,3,0.02,290.57,1,0,9,1,0,133.57,0,6,5.00
"QueryLoader",5,0.25,1.40,22,0.21,5601.82,7,2,5,7,2,72.75,44,30,7.00
"QueryLoaderTest",2,1.00,1.50,14,0.15,4066.68,3,1,2,2,2,87.51,11,20,11.00
"QueryRunner",20,0.84,1.30,85,1.05,30591.42,21,1,7,20,2,78.34,221,137,15.00
"ResultSetHandler",1,0.00,1.00,2,0.02,130.06,1,0,2,1,8,105.33,12,3,0.00
"ResultSetIterator",5,0.12,1.60,20,0.15,2001.68,7,2,3,6,3,78.22,48,32,3.00
"ResultSetIteratorTest",2,0.00,1.50,16,0.15,3573.99,2,0,1,2,2,102.13,9,20,9.00
"RowProcessor",4,0.00,1.00,5,0.25,5120.82,4,0,4,4,8,100.39,28,6,0.00
"ScalarHandler",4,0.33,1.50,15,0.12,2354.09,6,2,3,4,2,81.98,43,24,5.00
"ScalarHandlerTest",5,0.00,1.00,22,0.22,3274.56,5,0,3,5,3,170.38,8,28,11.00
"SqlNullCheckedResultSet",45,0.02,1.00,128,0.95,14888.90,69,24,16,47,4,90.36,323,177,28.00
"SqlNullCheckedResultSetMockBlob",9,0.00,1.00,18,0.16,1798.80,9,0,0,9,1,141.42,0,29,5.00
"SqlNullCheckedResultSetMockClob",11,0.00,1.00,22,0.17,1556.41,11,0,0,11,1,142.60,0,35,6.00
"SqlNullCheckedResultSetMockRef",4,0.00,1.00,8,0.05,393.43,4,0,0,4,1,143.85,0,13,4.00
"SqlNullCheckedResultSetTest",44,0.49,1.05,432,5.61,183274.24,46,2,22,44,7,101.53,185,476,21.00
"SqlNullUncheckedMockResultSet",1,0.00,9.00,20,0.29,12411.08,1,0,0,1,1,88.40,4,25,52.00
"StringTrimmedResultSet",3,0.25,1.67,14,0.16,4406.32,5,2,4,4,3,132.93,52,22,8.00
"StringTrimmedResultSetTest",5,0.00,1.00,21,0.24,3679.89,5,0,5,5,5,157.60,12,28,7.00
"TestBean",19,0.01,1.00,48,0.27,2404.50,28,9,0,20,3,189.05,21,68,0.00
System overview for No System Name
Name, No. Packages, NOS, AVCC, HBUG, HEFF, MI, CCML, NLOC
"No System Name",3,3424,1.33,17.45,487540.97,72.63,3751,2333
