Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF, LCOM2, MAXCC, R-R, NSUB, NSUP, NCO, FOUT, DIT, CCOM, COH, S-R, Superclass, MINC, EXT, INTR, MPC, HVOL, HIER, HLTH, SIX, TCC, NQU, F-IN, MOD, LMC
"AbstractBagDecorator",6,0.00,1.00,13,0.10,1149.29,6,0,3,6,4,147.16,22,21,4.00,6.00,1,0.20,3,1,1,2,2,4,0.00,1.50,org.apache.commons.collections.collection.AbstractCollectionDecorator,140.27,0,1,0,301.66,1,90,0.00,6,5,2,2,1
"AbstractBidiMapDecorator",6,0.00,1.00,13,0.08,1025.78,6,0,3,6,5,125.57,29,21,4.00,10.00,1,0.12,6,1,1,3,2,4,0.00,3.00,org.apache.commons.collections.map.AbstractMapDecorator,140.66,0,1,0,251.25,0,80,0.00,6,5,2,2,1
"AbstractBufferDecorator",4,0.00,1.00,9,0.05,512.58,4,0,2,4,3,115.47,22,14,3.00,4.00,1,0.33,1,1,1,2,2,4,0.00,0.50,org.apache.commons.collections.collection.AbstractCollectionDecorator,141.04,0,1,0,154.59,1,51,0.00,4,3,1,2,1
"AbstractCollectionDecorator",18,0.00,1.11,42,0.29,3981.49,19,1,2,18,10,180.24,34,63,9.00,0.00,2,0.00,36,0,2,0,1,4,1.00,36.00,java.lang.Object,138.55,0,1,0,870.62,0,253,0.00,20,16,10,2,0
"AbstractDualBidiMap",26,0.05,1.35,89,0.81,18959.12,31,5,10,27,18,114.88,123,120,15.00,2.00,3,0.00,2,0,4,6,1,20,0.15,2.00,java.lang.Object,128.21,1,1,1,2416.59,0,615,0.00,35,22,12,2,3
"AbstractDualBidiMap$BidiMapIterator",9,0.28,1.67,45,0.44,8808.93,13,4,10,9,3,170.78,8,63,8.00,0.00,3,0.00,0,0,3,3,1,2,0.50,0.00,java.lang.Object,120.99,0,1,0,1312.02,0,304,0.00,15,6,0,2,2
"AbstractDualBidiMap$EntrySet",3,0.00,1.67,14,0.16,4579.37,3,0,10,3,1,141.21,9,20,8.00,1.00,3,0.50,0,1,1,1,2,3,0.00,0.00,org.apache.commons.collections.bidimap.View,120.59,0,1,0,485.87,1,113,0.00,5,2,0,2,0
"AbstractDualBidiMap$EntrySetIterator",3,0.50,1.33,19,0.16,2753.17,6,3,10,3,2,151.39,7,24,6.00,1.00,2,0.50,0,1,2,2,2,2,0.67,0.00,org.apache.commons.collections.iterators.AbstractIteratorDecorator,117.46,0,0,0,480.82,2,112,0.50,4,1,0,2,0
"AbstractDualBidiMap$KeySet",4,0.00,1.25,13,0.14,2562.31,4,0,10,4,1,165.00,9,19,2.00,0.00,2,0.50,0,1,1,1,2,3,0.00,0.00,org.apache.commons.collections.bidimap.View,129.52,0,1,0,415.16,1,105,0.00,5,3,0,2,0
"AbstractDualBidiMap$KeySetIterator",3,0.33,1.33,19,0.15,2822.09,6,3,10,3,2,157.26,6,24,3.00,1.00,2,0.50,0,1,2,2,2,1,0.56,0.00,org.apache.commons.collections.iterators.AbstractIteratorDecorator,117.38,0,0,0,453.65,2,107,0.50,4,1,0,2,0
"AbstractDualBidiMap$MapEntry",2,1.00,1.50,12,0.14,4717.27,3,1,10,2,2,154.95,4,17,8.00,2.00,2,0.50,0,1,1,2,2,1,0.50,0.00,org.apache.commons.collections.keyvalue.AbstractMapEntryDecorator,115.07,0,0,0,427.73,2,94,0.00,3,1,0,2,0
"AbstractDualBidiMap$Values",4,0.00,1.25,13,0.14,2562.31,4,0,10,4,1,165.00,9,19,2.00,0.00,2,0.50,0,1,1,1,2,3,0.00,0.00,org.apache.commons.collections.bidimap.View,129.52,0,1,0,415.16,1,105,0.00,5,3,0,2,0
"AbstractDualBidiMap$ValuesIterator",3,0.33,1.33,18,0.13,2152.86,6,3,10,3,2,159.06,6,23,2.00,1.00,2,0.50,0,1,2,2,2,2,0.56,0.00,org.apache.commons.collections.iterators.AbstractIteratorDecorator,119.18,0,0,0,382.58,2,94,0.50,4,1,0,2,0
"AbstractDualBidiMap$View",4,0.33,2.75,30,0.26,5967.59,5,1,10,4,2,138.47,11,42,6.00,0.00,5,0.50,0,1,2,2,2,3,0.75,0.00,org.apache.commons.collections.collection.AbstractCollectionDecorator,112.73,0,0,0,769.00,1,173,0.09,11,2,0,3,0
"AbstractHashedMap",46,0.00,2.17,333,3.37,124304.82,65,19,15,47,22,61.41,414,421,17.00,642.00,10,0.00,6,0,19,4,1,69,0.06,6.00,java.lang.Object,111.41,1,1,1,10101.59,2,2132,0.00,100,27,18,1,22
"AbstractHashedMap$EntrySet",6,0.20,1.33,23,0.19,4143.89,7,1,15,6,1,174.48,4,32,7.00,0.00,2,0.50,0,1,2,1,2,1,0.83,0.00,java.util.AbstractSet,126.57,0,0,0,568.40,0,144,0.00,8,4,0,2,0
"AbstractHashedMap$EntrySetIterator",2,0.00,1.00,5,0.02,192.62,2,0,15,2,1,187.27,3,8,1.00,2.00,1,0.50,0,1,1,1,2,1,0.00,0.00,org.apache.commons.collections.map.HashIterator,140.30,0,0,0,74.54,1,25,0.00,2,1,0,2,0
