Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"AbstractMapEntryDecorator",8,0.14,1.25,22,0.15,2267.09,9,1,2,8,5,160.75,22,33,5.00
"AbstractMapIteratorDecorator",8,0.14,1.12,21,0.12,1772.30,9,1,1,8,1,157.25,24,31,4.00
"AbstractOrderedBidiMapDecorator",8,0.00,1.00,17,0.11,1330.09,8,0,2,8,6,148.81,29,27,5.00
"AbstractOrderedMapDecorator",9,0.00,1.00,19,0.12,1366.28,9,0,3,9,5,148.38,33,30,5.00
"AbstractOrderedMapIteratorDecorator",10,0.11,1.10,25,0.15,2051.25,11,1,1,10,1,170.36,24,37,5.00
"AbstractQueryRunner",22,0.17,2.50,161,1.91,108117.92,25,3,16,22,5,81.76,291,235,30.00
"AbstractReferenceMap",29,0.08,1.66,142,1.28,31949.89,36,7,17,29,10,71.44,278,192,16.00
"AbstractReferenceMap$ReferenceEntry",9,0.25,2.00,53,0.60,17997.68,10,1,17,9,1,66.67,75,68,10.00
"AbstractReferenceMap$ReferenceEntrySet",3,0.00,1.33,12,0.12,2945.56,3,0,17,3,2,169.61,5,17,10.00
"AbstractReferenceMap$ReferenceEntrySetIterator",8,0.27,1.88,62,0.48,11899.51,17,9,17,8,1,160.62,11,78,5.00
"AbstractReferenceMap$ReferenceKeySet",3,0.00,1.33,13,0.10,2073.65,3,0,17,3,1,169.51,5,15,7.00
"AbstractReferenceMap$ReferenceKeySetIterator",2,0.00,1.00,5,0.02,174.96,2,0,17,2,1,187.60,3,8,2.00
"AbstractReferenceMap$ReferenceMapIterator",5,0.00,1.60,20,0.17,3414.94,5,0,17,5,3,172.72,3,29,7.00
"AbstractReferenceMap$ReferenceValues",3,0.00,1.33,13,0.10,2073.65,3,0,17,3,1,169.51,5,15,7.00
"AbstractReferenceMap$ReferenceValuesIterator",2,0.00,1.00,5,0.02,174.96,2,0,17,2,1,187.60,3,8,2.00
"AbstractReferenceMap$SoftRef",2,1.00,1.00,7,0.04,445.00,3,1,17,2,0,132.23,8,10,0.00
"AbstractReferenceMap$WeakRef",2,1.00,1.00,7,0.04,445.00,3,1,17,2,0,171.88,4,10,0.00
"AbstractSerializableCollectionDecorator",3,1.00,1.00,10,0.08,935.31,4,1,5,3,5,83.52,24,16,7.00
"AbstractSerializableListDecorator",3,1.00,1.00,10,0.08,935.31,4,1,6,3,6,83.52,24,16,7.00
"AbstractSerializableSetDecorator",3,1.00,1.00,10,0.08,935.31,4,1,6,3,3,83.52,24,16,7.00
"AbstractSetDecorator",3,0.00,1.00,7,0.03,244.45,3,0,2,3,2,92.84,25,11,4.00
"AbstractSortedBagDecorator",6,0.00,1.00,13,0.07,700.92,6,0,2,6,3,135.81,26,21,4.00
"AbstractSortedBidiMapDecorator",7,0.00,1.00,15,0.11,1261.11,7,0,3,7,3,138.12,29,24,6.00
"AbstractSortedMapDecorator",9,0.00,1.00,19,0.13,1449.46,9,0,2,9,3,148.18,33,30,5.00
"AbstractSortedSetDecorator",9,0.00,1.00,19,0.13,1459.46,9,0,3,9,2,164.16,26,29,5.00
"AbstractTestBag",25,0.00,1.48,352,4.12,172614.23,25,0,9,25,11,136.10,52,385,23.00
"AbstractTestBidiMap",29,0.21,1.52,222,2.87,133640.42,32,3,10,30,12,149.85,56,293,26.00
"AbstractTestBidiMap$TestBidiMapEntrySet",2,0.00,3.00,41,0.62,35451.10,2,0,10,2,1,108.54,6,50,68.00
"AbstractTestBidiMap$TestBidiMapIterator",9,0.00,1.00,22,0.16,1424.88,9,0,10,9,4,172.66,2,32,6.00
