Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF, LCOM2, MAXCC, R-R, NSUB, NSUP, NCO, FOUT, DIT, CCOM, COH, S-R, Superclass, MINC, EXT, INTR, MPC, HVOL, HIER, HLTH, SIX, TCC, NQU, F-IN, MOD, LMC
"FastTreeMap",27,0.23,2.19,159,1.62,78139.90,29,2,8,27,3,73.44,185,301,18.00,0.00,14,0.50,0,1,7,0,2,32,0.72,0.00,java.util.TreeMap,114.51,0,0,0,4849.73,0,1107,0.00,59,20,3,1,1
"FastTreeMap$CollectionView",18,0.00,1.72,86,0.77,20826.06,18,0,8,18,1,121.14,0,143,11.00,0.00,3,0.00,0,0,2,1,1,0,0.00,0.00,java.lang.Object,121.14,0,1,0,2300.10,0,564,0.00,31,16,0,2,1
"FastTreeMap$CollectionView$CollectionViewIterator",4,0.67,2.25,28,0.23,5771.64,7,3,8,4,1,114.08,0,40,7.00,0.00,4,0.00,0,0,2,1,1,0,0.83,0.00,java.lang.Object,114.08,0,1,0,685.26,1,160,0.00,9,2,0,1,1
"FastTreeMap$EntrySet",2,0.00,1.00,5,0.03,334.61,2,0,8,2,0,138.42,0,8,4.00,2.00,1,0.50,0,1,0,0,2,0,0.00,0.00,org.apache.commons.collections.CollectionView,138.42,0,1,0,102.00,0,31,0.00,2,2,0,1,0
"FastTreeMap$KeySet",2,0.00,1.00,5,0.04,373.38,2,0,8,2,0,138.04,0,8,4.00,2.00,1,0.50,0,1,0,0,2,0,0.00,0.00,org.apache.commons.collections.CollectionView,138.04,0,1,0,114.26,0,34,0.00,2,2,0,1,0
"FastTreeMap$Values",2,0.00,1.00,5,0.04,358.11,2,0,8,2,0,138.18,0,8,4.00,2.00,1,0.50,0,1,0,0,2,0,0.00,0.00,org.apache.commons.collections.CollectionView,138.18,0,0,0,106.75,0,32,0.00,2,2,0,1,0
"FilterIterator",3,0.00,1.00,7,0.05,304.01,3,0,1,3,3,91.41,28,12,0.00,3.00,1,0.67,0,2,3,2,3,4,0.00,0.00,org.apache.commons.collections.iterators.FilterIterator,141.25,0,0,0,135.66,0,44,0.16,3,0,1,1,0
"FilterIterator",9,0.12,1.56,36,0.23,3252.64,12,3,3,9,3,86.65,62,52,2.00,25.00,3,0.25,2,1,5,2,2,15,0.22,1.00,org.apache.commons.collections.iterators.ProxyIterator,128.04,0,0,0,693.59,1,178,0.38,14,4,1,1,2
"FilterListIterator",19,0.02,1.74,89,0.59,9990.51,25,6,3,19,2,113.51,87,127,6.00,106.00,5,0.33,1,1,10,2,2,26,0.18,0.50,org.apache.commons.collections.iterators.ProxyListIterator,124.16,0,0,0,1783.62,1,431,0.44,33,9,0,1,5
"FilterListIterator",4,0.00,1.00,9,0.06,379.01,4,0,1,4,3,94.44,41,15,0.00,4.00,1,0.67,0,2,4,2,3,7,0.00,0.00,org.apache.commons.collections.iterators.FilterListIterator,142.07,0,0,0,165.66,0,54,0.17,4,0,1,1,0
"HashBag",2,0.00,1.00,6,0.03,197.17,2,0,2,2,2,91.56,15,9,0.00,2.00,1,0.50,0,1,2,2,2,3,0.00,0.00,org.apache.commons.collections.DefaultMapBag,137.27,0,1,0,86.72,3,29,0.00,2,0,1,1,0
"IteratorChain",17,0.00,1.65,82,0.58,11096.91,22,5,6,18,1,73.40,145,105,9.00,101.00,5,0.00,0,0,12,0,1,25,0.20,0.00,java.lang.Object,122.96,1,1,1,1751.46,0,431,0.00,28,5,1,1,5
"IteratorEnumeration",6,0.60,1.00,13,0.07,688.99,7,1,2,6,0,99.73,42,20,2.00,6.00,1,0.00,1,0,3,0,1,11,0.50,1.00,java.lang.Object,142.02,0,1,0,209.57,0,66,0.00,6,3,0,1,0
"IteratorEnumeration",2,0.00,1.00,5,0.03,188.85,2,0,1,2,2,90.86,17,9,0.00,2.00,1,0.50,0,1,2,1,2,3,0.00,0.00,org.apache.commons.collections.iterators.IteratorEnumeration,140.37,0,0,0,92.47,0,31,0.25,2,0,1,1,0
