Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF, LCOM2, MAXCC, R-R, NSUB, NSUP, NCO, FOUT, DIT, CCOM, COH, S-R, Superclass, MINC, EXT, INTR, MPC, HVOL, HIER, HLTH, SIX, TCC, NQU, F-IN, MOD, LMC
"AbstractHashedMap$KeySet",6,0.20,1.00,17,0.11,1390.88,7,1,17,6,1,183.18,4,24,3.00,0.00,1,0.50,0,1,2,1,2,1,0.83,0.00,java.util.AbstractSet,135.27,0,0,0,318.33,0,93,0.00,6,4,0,2,0
"AbstractHashedMap$KeySetIterator",2,0.00,1.00,5,0.03,228.30,2,0,17,2,1,186.69,3,8,2.00,2.00,1,0.50,0,1,1,1,2,1,0.00,0.00,org.apache.commons.collections.map.EntrySetIterator,139.72,0,0,0,86.43,1,28,0.00,2,1,0,2,0
"AbstractHashedMap$Values",5,0.25,1.00,13,0.07,772.18,6,1,17,5,1,187.35,4,19,3.00,0.00,1,0.50,0,1,2,1,2,1,0.80,0.00,java.util.AbstractCollection,138.05,0,0,0,223.14,0,68,0.00,5,3,0,2,0
"AbstractHashedMap$ValuesIterator",2,0.00,1.00,5,0.03,228.30,2,0,17,2,1,186.69,3,8,2.00,2.00,1,0.50,0,1,1,1,2,1,0.00,0.00,org.apache.commons.collections.map.HashIterator,139.72,0,0,0,86.43,1,28,0.00,2,1,0,2,0
"AbstractInputCheckedMapDecorator",5,0.00,1.20,12,0.07,977.48,5,0,7,5,9,93.30,54,20,3.00,8.00,2,0.17,4,1,2,4,2,7,0.00,2.00,org.apache.commons.collections.map.AbstractMapDecorator,138.50,0,0,0,211.95,0,65,0.09,6,3,5,1,1
"AbstractInputCheckedMapDecorator$EntrySet",4,0.33,2.25,31,0.34,16404.65,5,1,7,4,2,144.34,9,35,10.00,0.00,5,0.67,0,2,1,2,3,6,0.75,0.00,org.apache.commons.collections.set.AbstractSetDecorator,108.86,0,0,0,1015.39,0,217,0.23,9,3,0,1,0
"AbstractInputCheckedMapDecorator$EntrySetIterator",2,1.00,1.00,8,0.06,938.94,3,1,7,2,2,167.16,4,11,11.00,2.00,1,0.50,0,1,1,2,2,1,0.50,0.00,org.apache.commons.collections.iterators.AbstractIteratorDecorator,127.27,0,0,0,190.26,0,51,0.29,2,1,0,1,0
"AbstractInputCheckedMapDecorator$MapEntry",2,1.00,1.00,8,0.06,865.96,3,1,7,2,2,167.44,4,11,4.00,2.00,1,0.50,0,1,1,2,2,1,0.50,0.00,org.apache.commons.collections.keyvalue.AbstractMapEntryDecorator,127.55,0,0,0,177.21,0,49,0.00,2,1,0,1,0
"AbstractIteratorDecorator",5,0.25,1.20,15,0.08,1249.19,6,1,1,5,10,116.17,25,22,2.00,0.00,2,0.00,11,0,2,0,1,5,0.80,11.00,java.lang.Object,134.05,0,1,0,254.42,0,74,0.00,6,3,10,1,0
"AbstractKeyValue",4,0.33,1.00,13,0.09,1182.72,6,2,1,4,3,82.35,35,22,43.00,8.00,1,0.00,6,0,1,1,1,5,0.25,6.00,java.lang.Object,132.22,0,1,0,263.25,0,76,0.00,4,3,2,2,2
"AbstractLinkedList",49,0.17,1.76,263,2.39,81684.83,52,3,12,49,6,125.58,178,328,16.00,463.00,7,0.00,2,0,13,1,1,39,0.17,2.00,java.lang.Object,118.00,0,1,0,7179.13,0,1614,0.00,86,36,5,2,21
