Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"AbstractHashedMap$HashEntry",7,0.21,1.43,32,0.46,17619.02,11,4,17,7,1,161.45,13,52,50.00
"AbstractHashedMap$HashIterator",6,0.28,2.17,48,0.44,14660.05,11,5,17,6,1,158.70,8,63,6.00
"AbstractHashedMap$HashIterator",6,0.28,2.17,48,0.53,21027.15,11,5,17,6,1,157.46,8,63,7.00
"AbstractHashedMap$HashMapIterator",5,0.00,1.60,20,0.23,5885.70,5,0,17,5,2,170.86,3,29,10.00
"AbstractHashedMap$HashMapIterator",5,0.00,1.60,20,0.17,3440.64,5,0,17,5,2,172.69,3,29,7.00
"AbstractHashedMap$KeySet",6,0.20,1.00,17,0.11,1390.88,7,1,17,6,1,183.18,4,24,3.00
"AbstractHashedMap$KeySet",6,0.20,1.00,17,0.16,2644.97,7,1,17,6,1,180.98,4,29,4.00
"AbstractHashedMap$KeySetIterator",2,0.00,1.00,5,0.03,228.30,2,0,17,2,1,186.69,3,8,2.00
"AbstractHashedMap$KeySetIterator",2,0.00,1.00,5,0.07,963.60,2,0,17,2,1,181.77,3,9,2.00
"AbstractHashedMap$Values",5,0.25,1.00,13,0.07,772.18,6,1,17,5,1,187.35,4,19,3.00
"AbstractHashedMap$Values",5,0.25,1.00,13,0.12,1711.50,6,1,17,5,1,184.63,4,23,3.00
"AbstractHashedMap$ValuesIterator",2,0.00,1.00,5,0.03,228.30,2,0,17,2,1,186.69,3,8,2.00
"AbstractHashedMap$ValuesIterator",2,0.00,1.00,5,0.07,963.60,2,0,17,2,1,181.77,3,9,2.00
"AbstractInputCheckedMapDecorator",5,0.00,1.20,12,0.07,977.48,5,0,7,5,9,93.30,54,20,3.00
"AbstractInputCheckedMapDecorator",5,0.00,1.20,12,0.11,1645.72,5,0,7,5,9,89.68,52,20,4.00
"AbstractInputCheckedMapDecorator$EntrySet",4,0.33,2.25,31,0.34,16404.65,5,1,7,4,2,144.34,9,35,10.00
"AbstractInputCheckedMapDecorator$EntrySet",4,0.17,2.25,32,0.50,21661.06,6,2,7,4,2,138.12,10,41,14.00
"AbstractInputCheckedMapDecorator$EntrySetIterator",2,1.00,1.00,8,0.13,2760.27,3,1,7,2,2,163.47,4,13,12.00
"AbstractInputCheckedMapDecorator$EntrySetIterator",2,1.00,1.00,8,0.06,938.94,3,1,7,2,2,167.16,4,11,11.00
"AbstractInputCheckedMapDecorator$MapEntry",2,1.00,1.00,8,0.06,865.96,3,1,7,2,2,167.44,4,11,4.00
"AbstractInputCheckedMapDecorator$MapEntry",2,1.00,1.00,8,0.09,1702.93,3,1,7,2,2,165.12,4,12,4.00
"AbstractIterableGetMapDecorator",16,1.00,1.12,38,0.35,5526.74,17,1,6,16,4,182.99,25,60,9.00
"AbstractIterableMap",1,0.00,1.00,3,0.04,514.12,1,0,2,1,6,81.62,9,5,5.00
"AbstractIterableMapTest",8,0.00,2.50,67,0.71,27779.30,8,0,7,8,21,120.98,27,90,12.00
"AbstractIterableMapTest$InnerTestMapIterator",10,0.00,1.00,24,0.24,2919.56,10,0,7,10,3,169.44,2,44,6.00
"AbstractIteratorDecorator",5,0.25,1.20,15,0.08,1249.19,6,1,1,5,12,116.17,25,22,2.00
"AbstractIteratorDecorator",2,0.00,1.00,5,0.04,465.89,2,0,1,2,16,89.18,16,8,2.00
"AbstractIteratorTest",10,0.00,2.00,52,0.45,13455.41,10,0,3,10,24,77.71,69,75,7.00
"AbstractKeyValue",4,0.33,1.00,13,0.09,1182.72,6,2,1,4,3,82.35,35,22,43.00
"AbstractKeyValue",6,0.40,1.00,21,0.17,3293.72,8,2,1,6,3,111.03,30,33,43.00
"AbstractLinkedList",49,0.17,1.76,266,2.81,113944.04,52,3,12,49,6,114.14,203,330,17.00
"AbstractLinkedList",49,0.17,1.76,263,2.39,81684.83,52,3,12,49,6,125.58,178,328,16.00
"AbstractLinkedList$LinkedListIterator",12,0.27,1.42,63,0.51,11062.96,17,5,12,12,2,117.47,50,83,7.00
"AbstractLinkedList$LinkedListIterator",12,0.27,1.42,63,0.46,9008.67,17,5,12,12,2,119.78,49,82,6.00
"AbstractLinkedList$LinkedSubList",14,0.33,1.50,76,0.86,23939.67,18,4,12,14,1,164.13,8,109,12.00
"AbstractLinkedList$LinkedSubList",14,0.33,1.50,76,0.70,16372.01,18,4,12,14,1,165.43,8,98,11.00
"AbstractLinkedList$LinkedSubListIterator",6,0.40,1.00,19,0.15,1923.11,7,1,12,6,0,181.88,5,26,2.00
"AbstractLinkedList$LinkedSubListIterator",6,0.40,1.00,19,0.19,2999.09,7,1,12,6,0,180.36,5,31,2.00
"AbstractLinkedList$Node",9,0.17,1.00,28,0.15,1993.09,12,3,12,9,0,93.49,61,38,3.00
"AbstractLinkedList$Node",9,0.17,1.00,28,0.20,4007.74,12,3,12,9,0,91.10,61,38,4.00
"AbstractLinkedListTest",12,0.00,1.67,86,0.80,19428.84,12,0,6,12,1,110.44,50,124,10.00
"AbstractLinkedListTest",8,0.00,2.62,117,1.59,88509.82,8,0,1,8,4,138.87,14,147,16.00
"AbstractLinkedMap",23,0.64,1.70,105,1.35,50693.04,24,1,10,23,14,70.72,190,146,25.00
"AbstractLinkedMap",23,0.64,1.74,107,0.98,31825.30,24,1,11,23,15,70.98,210,138,22.00
"AbstractLinkedMap$EntrySetIterator",3,0.00,1.00,7,0.10,1511.85,3,0,10,3,3,185.76,3,12,5.00
"AbstractLinkedMap$EntrySetIterator",3,0.00,1.00,7,0.04,302.25,3,0,11,3,1,191.27,3,11,2.00
"AbstractLinkedMap$KeySetIterator",3,0.00,1.00,7,0.04,373.59,3,0,11,3,1,190.54,3,11,3.00
"AbstractLinkedMap$KeySetIterator",3,0.00,1.00,7,0.09,1182.33,3,0,10,3,3,186.60,3,13,3.00
"AbstractLinkedMap$LinkEntry",1,2.00,1.00,5,0.03,281.90,3,2,11,1,0,151.69,19,7,0.00
"AbstractLinkedMap$LinkEntry",1,2.00,1.00,5,0.07,1097.86,3,2,10,1,0,147.04,19,7,0.00
"AbstractLinkedMap$LinkIterator",9,0.41,1.78,48,0.47,11016.76,13,4,10,9,2,168.28,7,66,8.00
"AbstractLinkedMap$LinkIterator",9,0.41,1.78,48,0.41,8332.52,13,4,11,9,4,169.23,7,67,7.00
"AbstractLinkedMap$LinkMapIterator",6,0.00,1.50,22,0.25,6110.74,6,0,10,6,4,170.68,3,33,8.00
"AbstractLinkedMap$LinkMapIterator",6,0.00,1.50,22,0.19,3585.94,6,0,11,6,3,172.51,3,32,6.00
"AbstractLinkedMap$ValuesIterator",3,0.00,1.00,7,0.04,373.59,3,0,11,3,1,190.54,3,11,3.00
"AbstractLinkedMap$ValuesIterator",3,0.00,1.00,7,0.09,1182.33,3,0,10,3,3,186.60,3,13,3.00
"AbstractListDecorator",13,0.00,1.00,27,0.22,2634.75,13,0,4,13,2,180.65,26,41,7.00
"AbstractListDecorator",15,1.00,1.00,32,0.35,6044.76,16,1,4,15,2,182.00,26,52,8.00
"AbstractListIteratorDecorator",11,0.10,1.09,27,0.16,2109.39,12,1,1,11,8,173.29,25,40,6.00
"AbstractListIteratorDecorator",11,0.10,1.09,27,0.19,2896.87,12,1,1,11,8,161.49,31,40,6.00
