GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons DbUtils,org.apache.commons.dbutils,ResultSetIterator,32,34,0,2,13,9,3,5,3,4
Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.UpdateCallableStatement,8,44,0,2,1,14,0,3,0,2
Commons DbUtils,org.apache.commons.dbutils,QueryLoader,12,64,1,3,1,19,1,7,0,6
Commons DbUtils,org.apache.commons.dbutils,BasicRowProcessor,2,86,0,4,1,21,1,9,1,7
Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner,16,379,7,25,3,87,7,28,0,19
Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.QueryCallableStatement,9,59,0,2,2,17,0,3,0,2
Commons DbUtils,org.apache.commons.dbutils,BasicRowProcessor.CaseInsensitiveHashMap,47,37,2,0,10,8,4,3,3,3
Commons DbUtils,org.apache.commons.dbutils,ResultSetIterator.new Iterable() {...},12,0,0,0,2,0,2,0,2,0
Commons DbUtils,org.apache.commons.dbutils,ProxyFactory,0,66,0,0,0,12,0,11,0,11
Commons DbUtils,org.apache.commons.dbutils,AbstractQueryRunner,105,307,5,29,16,87,6,27,1,15
Commons DbUtils,org.apache.commons.dbutils,DbUtils,115,15,14,4,61,9,24,4,16,3
Commons DbUtils,org.apache.commons.dbutils,BeanProcessor,296,343,59,51,53,81,37,29,0,11
Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.BatchCallableStatement,10,42,0,2,2,13,0,3,0,2
Commons DbUtils,org.apache.commons.dbutils,QueryRunner,64,321,5,29,9,87,9,31,4,19
Commons DbUtils,org.apache.commons.dbutils.handlers,AbstractListHandler,0,19,0,2,0,5,0,3,0,2
Commons DbUtils,org.apache.commons.dbutils.handlers,BeanListHandler,0,21,0,0,0,7,0,3,0,3
Commons DbUtils,org.apache.commons.dbutils.handlers,ColumnListHandler,0,37,0,2,0,13,0,6,0,5
Commons DbUtils,org.apache.commons.dbutils.handlers,BeanHandler,0,26,0,2,0,7,0,4,0,3
Commons DbUtils,org.apache.commons.dbutils.handlers,MapListHandler,0,15,0,0,0,6,0,3,0,3
Commons DbUtils,org.apache.commons.dbutils.handlers,MapHandler,0,20,0,2,0,6,0,4,0,3
Commons DbUtils,org.apache.commons.dbutils.handlers,ArrayHandler,0,25,0,2,0,7,0,5,0,4
Commons DbUtils,org.apache.commons.dbutils.handlers,ScalarHandler,0,42,0,4,0,15,0,7,0,5
Commons DbUtils,org.apache.commons.dbutils.handlers,AbstractKeyedHandler,0,25,0,2,0,6,0,4,0,3
Commons DbUtils,org.apache.commons.dbutils.handlers,ArrayListHandler,0,15,0,0,0,6,0,3,0,3
Commons DbUtils,org.apache.commons.dbutils.handlers,KeyedHandler,6,48,0,2,2,14,1,7,1,6
Commons DbUtils,org.apache.commons.dbutils.wrappers,SqlNullCheckedResultSet,7,317,1,9,1,106,2,49,1,45
Commons DbUtils,org.apache.commons.dbutils.wrappers,StringTrimmedResultSet,0,41,1,5,0,11,1,6,0,4
